행정동,면적(㎢),총생활인구수,청소년인구수,청년인구수,중장년인구수,노인인구수,장애인구수,노인_의료복지시설수,노인_주거복지시설수,노인_여가복지시설수,노인_일자리지원기관수,노인교실수,경로당수,장애인_생산품판매시설수,장애인_의료재활시설수,장애인_지역사회재활시설수,장애인_직업재활시설수,총시설수
도봉1동,8.72,15467.9043,546.7842,2711.8687,7759.751,4449.5004,1441.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,13.0
도봉2동,0.83,16732.2813,830.9294,2797.4705000000004,8614.265599999999,4489.6158,1457.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,14.0
월계1동,1.16,19060.6086,1591.5479,6390.324199999999,7925.5043000000005,3153.2322,937.0,0.0,0.0,1.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,18.0
월계2동,1.94,17686.357,1279.0749,3128.5472,9193.8274,4084.9075,2135.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0
월계3동,1.17,21800.5354,1134.4442,4459.740600000001,11538.4164,4667.9342,1852.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0
공릉2동,6.82,45245.8031,5324.5153,14121.5415,19519.872000000003,6279.8743,1338.0,0.0,0.0,1.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,26.0
하계1동,1.55,22289.0401,2038.8527,5011.095300000001,10779.1636,4459.9285,1925.0,0.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,14.0
하계2동,0.51,14242.1718,1119.373,2737.2563,8074.060799999999,2311.4817,963.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0
중계본동,1.97,16077.9566,2202.4514,2423.8847,9321.367300000002,2130.2532,683.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,17.0
중계1동,0.63,23657.8187,3426.0304,3392.4175,13742.9216,3096.4492,683.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0
중계4동,1.7,13494.2776,931.5518999999999,2543.8169000000003,7006.4677,3012.4411,1427.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0
상계1동,5.62,31308.9262,1755.1361,5630.255499999999,16033.7112,7889.8234,1880.0,2.0,0.0,2.0,1.0,1.0,26.0,0.0,0.0,3.0,2.0,37.0
상계2동,0.61,22754.02,1819.466,5607.6244,10978.0773,4348.8523,864.0,6.0,0.0,1.0,0.0,4.0,13.0,0.0,0.0,1.0,0.0,25.0
상계5동,1.01,17100.1749,1007.0756,3190.6317,8892.9679,4009.4997,1293.0,3.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,4.0,1.0,19.0
상계8동,0.67,20316.1003,1181.4292,4704.6109,10904.8146,3525.2456,726.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,8.0
상계9동,0.81,11217.74,791.5772999999999,2193.7472,6041.9054,2190.5101,713.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0
상계10동,0.8,11029.666,652.3625999999999,2392.6259999999997,5825.4772,2159.2002,557.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,9.0
상계3.4동,5.05,18681.5647,1070.9949,3240.4148999999998,9966.5113,4403.6436,1662.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,17.0
상계6.7동,1.11,36987.7399,2131.0596,8306.4148,19846.7137,6703.5518,1209.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0
중계2.3동,0.9,28414.6967,1891.944,5321.4042,15335.863299999999,5865.4852,2874.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0
공릉1동,1.41,36317.4733,2156.8047,10674.0291,16590.959899999998,6895.6796,2086.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,19.0
녹번동,1.79,30030.245,1454.3987,6943.914699999999,15757.1328,5874.7988,1620.0,4.0,1.0,1.0,0.0,2.0,11.0,0.0,0.0,1.0,1.0,21.0
불광1동,3.13,24120.8005,1133.3017,5301.6874,12533.6376,5152.1738,1636.0,0.0,0.0,3.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,24.0
갈현1동,0.97,15902.2517,644.0835,4099.326000000001,8042.4494,3116.3928,680.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,10.0
갈현2동,0.96,21940.389,1094.3415,5352.1795,11443.0925,4050.7755,1280.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0
구산동,1.38,25139.3149,1441.4711,5138.4743,13358.392100000001,5200.9774,2133.0,2.0,0.0,1.0,0.0,1.0,10.0,0.0,1.0,4.0,3.0,22.0
대조동,0.85,49968.6675,2804.2258,12417.1208,26839.774599999997,7907.5463,1220.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,9.0
응암1동,1.2,21503.5119,1124.8369,5097.4722,11838.0258,3443.177,1336.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,9.0
응암2동,0.78,16203.1808,916.8473,2772.9413,9811.546,2701.8462,963.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,13.0
신사1동,0.84,20894.0022,1055.6487,4697.7582,11206.316700000001,3934.2786,1240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
신사2동,1.0,15205.9287,823.2557999999999,3221.7336,7938.1414,3222.7979,895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
증산동,0.81,11291.0113,599.7032,2422.3860999999997,6294.265399999999,1974.6566,701.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,1.0,1.0,15.0
수색동,1.29,14594.5774,611.9031,3232.4621,8614.0334,2136.1788,825.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,12.0
진관동,11.53,48780.2999,4347.6848,9600.3871,25856.166,8976.062,1916.0,2.0,0.0,2.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,43.0
불광2동,1.38,19509.6445,767.6277,4392.858,9987.826000000001,4361.3328,1441.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,9.0
응암3동,0.63,21913.5967,954.1886,5195.6831,11545.564499999999,4218.1605,1297.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0
역촌동,1.16,39125.6869,1934.9411,8610.994999999999,21238.2419,7341.5089,2141.0,3.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,16.0
천연동,0.97,14400.2502,1282.9117,2813.0654,7786.5301,2517.743,670.0,1.0,0.0,2.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,14.0
홍제1동,1.23,22610.8004,1394.4472,4864.7099,11622.752,4728.8913,962.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0
홍제2동,1.05,11836.0883,509.50159999999994,2287.9827999999998,6628.4146,2410.1893,553.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,10.0
홍제3동,0.81,13826.9938,730.5771,2784.6232,7187.097699999999,3124.6958,849.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,1.0,0.0,13.0
홍은1동,1.58,15631.2172,823.7891999999999,3203.8995,8511.1414,3092.3871,989.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0
홍은2동,2.06,21459.9207,1379.1085,5040.018099999999,10849.603399999998,4191.1907,1236.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0
남가좌1동,0.51,8056.6528,596.5208,1437.0328,4896.9842,1126.115,529.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
남가좌2동,0.77,20084.8918,1482.3998000000001,6082.7948,9513.2552,3006.442,1163.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0
북가좌1동,0.55,13113.4195,915.8951,2125.5864,7828.966500000001,2242.9715,677.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0
북가좌2동,0.84,25390.6815,1295.9805999999999,6255.3259,12968.0366,4871.3384,1459.0,4.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,16.0
충현동,1.12,27509.0741,1756.804,7204.1632,14466.4255,4081.6814,693.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
북아현동,0.46,43792.0299,1735.2182,10738.8345,26080.2408,5237.7364,516.0,0.0,0.0,2.0,0.0,2.0,9.0,0.0,0.0,3.0,0.0,16.0
신촌동,2.63,50550.4575,5375.8181,29761.393200000002,12285.1521,3128.0941,434.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0
연희동,3.05,37468.4347,2060.1233,14636.516700000002,15971.797,4799.9977,1117.0,5.0,0.0,3.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,21.0
용강동,0.84,21430.6874,1183.2882,4349.5787,12925.8524,2971.9681,599.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0
대흥동,0.87,18171.8182,1377.8226,8009.1276,7000.0737,1784.7943,423.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,12.0
염리동,0.44,16621.8986,1027.2814,4193.9811,9439.9105,1960.7256,517.0,1.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0,12.0
신수동,0.78,15277.3507,874.6437000000001,4186.447700000001,7856.7063,2359.553,680.0,0.0,0.0,1.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,17.0
서교동,1.65,52122.3877,4239.2366999999995,24174.855600000003,20118.929,3589.3664,628.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0
합정동,1.72,14731.1186,481.9452,5344.0988,7240.303400000001,1664.7712,531.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0
망원1동,1.13,20015.0096,726.8471,6204.5641,10147.283199999998,2936.3152,734.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0
망원2동,0.67,15256.7503,636.1918000000001,3936.523,8241.0039,2443.0316,736.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
연남동,0.64,16131.3029,587.6813,5972.438499999999,7492.074199999999,2079.1089,460.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
성산1동,0.8,19578.6113,837.6080999999999,5633.7094,10653.3181,2453.9757,657.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,7.0
성산2동,2.07,31522.5584,1438.9356,9385.2824,16443.610800000002,4254.7296,1856.0,1.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,1.0,0.0,23.0
상암동,8.4,33982.6547,2058.2133,8071.7497,19163.4559,4689.2358,1133.0,0.0,1.0,1.0,0.0,1.0,16.0,0.0,1.0,1.0,2.0,23.0
도화동,0.62,13620.8287,762.6714,3178.4871000000003,7378.6628,2301.0074,703.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0
서강동,1.45,26549.4566,2124.2117,9566.916000000001,11741.153999999999,3117.1749,654.0,0.0,0.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,15.0
공덕동,1.01,32442.3239,1309.933,8497.8136,17910.882100000003,4723.6952,1364.0,2.0,1.0,1.0,0.0,1.0,24.0,0.0,0.0,2.0,0.0,31.0
아현동,0.76,22241.8032,1210.9945,4569.3904,13187.6297,3273.7886,713.0,0.0,0.0,2.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,12.0
목1동,1.41,24953.1765,2525.8081,3729.4601,15156.561199999998,3541.3471,697.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,14.0
목2동,1.03,20693.558,987.4753,5424.032999999999,10858.825700000001,3423.224,1015.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,13.0
목3동,0.53,16857.8259,799.1629,4115.3134,8722.8719,3220.4777,876.0,0.0,0.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,11.0
목4동,0.57,17465.4161,1671.7017,3843.5788999999995,9404.6602,2545.4753,837.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0
목5동,1.81,34958.9583,4546.696,4877.8848,20146.074699999997,5388.3028,709.0,0.0,0.0,2.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,14.0
신월1동,0.65,14259.5494,490.7685,3021.3498,7659.001000000001,3088.4301,1258.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0
신월2동,0.61,10944.1007,646.255,2098.2144,5998.056500000001,2201.5748,993.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,13.0
신월3동,0.87,11032.5232,489.19960000000003,2362.5582,5939.1121,2241.6533,1011.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,7.0
신월4동,0.52,10992.9978,686.2551000000001,1982.5607,6012.7218,2311.4602,959.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,13.0
신월5동,0.69,10303.7471,478.4848,2211.2083000000002,5573.0643,2040.9897,717.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0
신월6동,0.41,2918.1844,134.3716,526.1156,1636.7013,620.9959,484.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,11.0
신월7동,1.19,13245.1915,562.7719999999999,2527.1601,7017.0554,3138.204,1131.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0
신정1동,0.7,13343.262,1259.4735,2009.2118,7970.247800000001,2104.3289,533.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
신정2동,0.52,13626.0319,1620.2251,2004.1863999999998,7865.2622,2136.3582,704.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,12.0
신정4동,1.01,32579.795,1894.7876,8011.5085,16863.0153,5810.4836,1621.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0
신정3동,2.72,35970.3104,2788.973,6666.254,19697.019300000004,6818.0641,2211.0,0.0,0.0,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,27.0
신정6동,0.96,16255.9813,1577.0176000000001,2199.7160999999996,9586.8534,2892.3942,441.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0
신정7동,1.21,17607.295,1558.2388,2517.6666999999998,9793.178100000001,3738.2114,1391.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,12.0
염창동,1.74,27831.487,1836.1646,6358.0605,16094.2466,3543.0153,1040.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
등촌1동,0.64,19502.315,565.0743,6082.7118,10138.384100000001,2716.1448,733.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0
등촌2동,0.92,16722.1256,749.6111,4284.2498,8845.4538,2842.8109,707.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
등촌3동,0.79,29598.6305,1474.9268,7255.5282,14802.7898,6065.3857,3553.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0
화곡본동,0.98,28029.2889,1313.2379999999998,7576.3895,14411.506599999999,4728.1548,1408.0,0.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,9.0
화곡2동,0.45,12492.098,564.8367000000001,2970.7501,6529.7388,2426.7724,772.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0
화곡3동,0.53,16981.5311,904.0189,4285.099700000001,8312.2003,3480.2122,805.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,7.0
화곡4동,0.82,13737.1415,664.7411999999999,3224.7266,7186.110500000001,2661.5632,966.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
화곡6동,1.11,19764.3939,797.3192,5781.121800000001,10163.2621,3022.6908,997.0,0.0,0.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,12.0
화곡8동,0.53,41276.2288,2058.9071,10178.625199999999,22543.267,6495.4295,1012.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,8.0
가양1동,4.7,30697.9329,1111.9326,10423.8514,15795.4069,3366.742,751.0,0.0,0.0,1.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,18.0
가양2동,1.0,11493.4799,432.86839999999995,2228.6982,5374.0466,3457.8667,2267.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0
가양3동,0.5,11556.0298,273.7358,2574.4777000000004,6093.2417000000005,2614.5746,1511.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0
발산1동,2.94,25729.043,2856.1628,5036.593000000001,13743.9375,4092.3497,1509.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,13.0
공항동,10.87,26689.8956,1289.1966,6257.523499999999,14987.0596,4156.1159,1244.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,1.0,13.0
방화1동,1.48,30855.4884,1624.2509,5848.5672,17602.4554,5780.2149,1760.0,0.0,0.0,2.0,1.0,3.0,25.0,0.0,0.0,0.0,0.0,31.0
방화2동,6.41,19369.8986,651.2411999999999,4731.121499999999,10419.9849,3567.551,1582.0,0.0,0.0,2.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,14.0
방화3동,2.55,16689.276,694.0056,3041.4856,9027.115600000001,3926.6692,1888.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,18.0
화곡1동,1.12,43071.2925,1357.3401,12852.2686,21432.895,7428.7888,2173.0,0.0,0.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,11.0
우장산동,1.36,30954.5502,2548.7291999999998,6906.6618,16565.219,4933.9402,1268.0,,,,,,,,,,,
신도림동,1.47,24028.6052,1565.9142,5492.0504,13468.289600000002,3502.351,965.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,0.0,20.0
구로1동,1.02,15286.0143,923.5783,3184.8891000000003,8846.0224,2331.5245,539.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,15.0
구로2동,1.76,27635.0036,917.3614,5729.2196,15862.281200000001,5126.1414,1571.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,18.0
구로3동,1.02,28724.6378,849.8638000000001,9129.7778,15177.939899999998,3567.0563,938.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,11.0
구로4동,0.46,16570.1316,461.0683,3220.7919,9667.8226,3220.4488,1327.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,15.0
구로5동,1.03,27473.3443,825.2314,8043.8269,14505.823799999998,4098.4622,1191.0,0.0,0.0,1.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,19.0
고척1동,1.16,21016.5172,1367.7064,4672.6835,11148.5079,3827.6194,1148.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,19.0
고척2동,1.02,15432.5306,957.0935,2861.9404000000004,8531.7777,3081.719,1400.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,16.0
개봉2동,0.8,23337.254,1096.7921000000001,5414.296899999999,12299.7549,4526.4101,1456.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,13.0
개봉3동,0.81,17993.2868,1070.1057,3577.0802999999996,9762.6189,3583.4819,1112.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,7.0
오류1동,0.59,19010.234,1006.2938999999999,5716.9217,9179.667700000002,3107.3507,1171.0,0.0,0.0,0.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,18.0
오류2동,3.2,43969.6239,3044.6688000000004,8908.4886,24109.502099999998,7906.9644,2199.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,23.0
수궁동,2.67,18473.2516,1632.7375000000002,3624.0974,9562.765200000002,3653.6515,1316.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,11.0
가리봉동,0.4,11014.8577,129.6694,3574.6441999999997,6071.9042,1238.6399,575.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,9.0
개봉1동,1.31,26550.5188,1212.5230000000001,5518.3954,14570.8837,5248.7167,1707.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0
항동,1.4,,,,,,613.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0
가산동,2.52,38078.8439,648.2203,15124.389299999999,19118.708400000003,3187.5259,760.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,4.0,14.0
독산1동,2.09,37394.1772,1073.5588,12959.6,18699.9527,4661.0657,2096.0,7.0,0.0,6.0,0.0,1.0,22.0,0.0,0.0,1.0,2.0,39.0
독산2동,0.6,12636.0156,425.999,3014.1407,6858.420499999999,2337.4554,1007.0,6.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0
독산3동,0.92,15637.7709,408.4146,3660.6576999999997,8507.6324,3061.0662,1299.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0
독산4동,0.59,11841.9683,407.5158,2696.4867999999997,6569.3415,2168.6242,846.0,1.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,11.0
시흥1동,1.71,23293.391,1061.3929,5429.8931999999995,12608.715500000002,4193.3894,1768.0,6.0,0.0,2.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,21.0
시흥2동,1.26,13342.9625,1007.6804,2134.5166,7235.620800000001,2965.1447,1181.0,0.0,1.0,2.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,15.0
시흥3동,1.07,8681.0949,434.06559999999996,1594.3883,4689.1331,1963.5079,538.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,5.0
시흥4동,0.87,10597.1934,532.3328,2028.8036,5727.3914,2308.6656,1180.0,1.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0,12.0
시흥5동,1.39,10336.3593,602.504,2075.7691,5530.6387,2127.4475,1318.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,9.0
여의동,8.4,52077.6903,2139.6409000000003,11504.497800000001,31242.093799999995,7191.4578,815.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,9.0
당산1동,0.75,20429.8964,772.8306,6595.6341,10244.979500000001,2816.4522,794.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,14.0
당산2동,1.55,47119.8795,2183.1742000000004,14866.4465,24713.489,5356.7698,903.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0
양평1동,0.88,17117.7375,612.8678,5328.8455,9027.9059,2148.1183,662.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,14.0
양평2동,3.0,20095.0091,825.6466,6173.6649,10943.041799999999,2152.6558,578.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,14.0
신길1동,0.66,18522.8122,648.4785999999999,5785.6109,9146.664799999999,2942.0579,896.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,9.0
신길3동,0.52,13420.9932,609.0159000000001,3033.5802,7267.7567,2510.6404,835.0,0.0,0.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,11.0
신길4동,0.38,7234.675,255.2067,1593.7740000000001,3925.2787000000003,1460.4156,632.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,7.0
신길5동,0.47,8364.5394,343.7809,1634.3977,4830.2201000000005,1556.1407,554.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,8.0
신길6동,0.65,20554.1139,1031.0779,5161.7943,10946.796699999999,3414.445,754.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,11.0
신길7동,0.64,15726.0704,1026.9986,3503.6906,8861.1947,2334.1865,565.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0
대림1동,0.49,12784.9958,429.8153,2604.5691,7372.6093,2378.0021,896.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,10.0
대림2동,0.55,16025.4341,401.1436,3528.2555,9632.086599999999,2463.9484,849.0,11.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,19.0
대림3동,0.95,22252.3555,716.2609,4871.432,12882.6318,3782.0308,1230.0,2.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0,16.0
영등포본동,1.02,17425.5553,651.8494000000001,4825.2703,9105.253400000001,2843.1822,1053.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0
영등포동,1.26,39227.5803,1147.0076,15870.4258,18698.5648,3511.5821,968.0,0.0,0.0,1.0,1.0,4.0,12.0,0.0,0.0,0.0,0.0,18.0
도림동,0.89,15730.5341,490.5998,3845.1471,8784.5213,2610.2659,906.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,10.0
문래동,1.49,24510.8651,1142.3217,5238.4466,14333.567799999999,3796.529,887.0,0.0,0.0,2.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,30.0
노량진2동,0.64,13499.3844,581.6575,4755.7428,6205.973,1956.0111,411.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
상도1동,1.51,46240.8084,3696.3217,16881.9174,18578.663399999998,7083.9059,1465.0,2.0,0.0,3.0,0.0,3.0,15.0,0.0,0.0,1.0,0.0,24.0
상도2동,0.98,17731.7145,954.9942,4868.1624,9118.0078,2790.5501,899.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,1.0,1.0,16.0
상도3동,0.6,17883.6213,849.5386,4939.0784,8812.3349,3282.6694,1142.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0
상도4동,0.75,22591.9883,977.6497,5738.558999999999,11853.0782,4022.7014,1327.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0
사당1동,0.79,20181.1594,660.5607,7282.3493,9294.9838,2943.2656,741.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0
사당3동,0.92,17483.3028,812.4167,3794.9055,9238.6647,3637.3159,765.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0
